2018-07-10T13:27:52Z, 58, NTP, Adjust, 10
2018-07-10T18:00:54Z, 59, NTP, Adjust, -5
2018-07-10T22:34:04Z, 58, NTP, Adjust, -15
2018-07-11T03:07:05Z, 59, NTP, Adjust, -5
2018-07-11T07:40:09Z, 58, NTP, Adjust, 5
2018-07-11T08:34:37Z, 48, NWL, Measmt, 99
2018-07-11T08:34:51Z, 48, NWL, Adjust, 58
2018-07-11T12:13:14Z, 58, NTP, Adjust, -5
2018-07-11T16:46:20Z, 59, NTP, Adjust, 5
2018-07-11T21:19:25Z, 61, NTP, Adjust, -10
2018-07-12T01:52:36Z, 62, NTP, Adjust, -30
2018-07-12T06:25:35Z, 61, NTP, Adjust, -15
2018-07-12T10:58:36Z, 61, NTP, Adjust, -5
2018-07-12T15:31:44Z, 60, NTP, Adjust, 10
2018-07-12T20:04:49Z, 62, NTP, Adjust, 10
2018-07-13T00:37:52Z, 62, NTP, Adjust, 5
2018-07-13T05:10:57Z, 62, NTP, Adjust, -5
2018-07-13T09:44:06Z, 61, NTP, Adjust, -15
2018-07-13T14:17:05Z, 61, NTP, Adjust, -5
2018-07-13T18:50:09Z, 62, NTP, Adjust, 5
2018-07-13T23:23:14Z, 62, NTP, Adjust, 10
2018-07-14T03:56:17Z, 62, NTP, Adjust, 5
2018-07-14T08:29:22Z, 61, NTP, Adjust, -5
2018-07-14T13:02:28Z, 61, NTP, Adjust, -5
2018-07-14T22:08:38Z, 62, NTP, Adjust, 10
2018-07-15T02:41:40Z, 62, NTP, Adjust, 5
2018-07-15T07:14:46Z, 62, NTP, Adjust, -10
2018-07-15T11:47:49Z, 61, NTP, Adjust, -5
2018-07-15T16:20:55Z, 62, NTP, Adjust, -5
2018-07-15T20:54:03Z, 62, NTP, Adjust, 10
2018-07-16T01:27:04Z, 62, NTP, Adjust, -5
2018-07-16T06:00:07Z, 62, NTP, Adjust, -5
2018-07-16T07:48:23Z, 60, NWL, Measmt, 78
